"Sr_No","Product_Name","Quantity","Unit","MRP","Purchase_Rate","Amount","Category","Cost_Price","Actual_Margin_Percent","Actual_Profit_Per_Unit","Total_Actual_Profit","SP_5_Percent","SP_10_Percent","SP_5_Margin_Percent","SP_10_Margin_Percent","Brand","Size","Supplier","Last_Updated","Status","Stock_Quantity","Barcode"
"159","MADHU SUDAN JAR 900ML","15","PCS","680.0","535.0","8025.0","Food & Grocery","535.0","27.1","145.0","2175.0","672.75","665.5","25.75","24.39","","","","","","","8906017815052.0"
"160","MAGGI 60/- 24P","50","PCS","57.0","24.0","1200.0","Food & Grocery","24.0","137.5","33.0","1650.0","55.35","53.7","130.62","123.75","","","","","","","8901058010749.0"
"161","MAGGI 90/- 16P","17","PCS","84.0","70.0","1190.0","Food & Grocery","70.0","20.0","14.0","238.0","83.3","82.6","19.0","18.0","","","","","","","8901058010565.0"
"162","MAGGI MASALA 5/-","480","PCS","5.0","5.0","2500.0","Food & Grocery","5.0","0.0","0.0","0.0","5.0","5.0","0.0","0.0","","","","","","","89080153.0"
"163","MOMS MAGIC BISCUIT 10/-","65","PCS","10.0","10.0","650.0","Biscuits","10.0","0.0","0.0","0.0","10.0","10.0","0.0","0.0","","","","","","","8901725003838.0"
"164","MORTEIN RED COIL 36/-","40","PCS","36.0","36.25","1450.0","Home Care","36.25","-0.69","-0.25","-10.0","36.01","36.02","-0.66","-0.63","","","","","","","8901396506003"
"165","MOTHER DAIRY 500GM 345/-","15","PCS","345.0","570.0","8550.0","Food & Grocery","570.0","-39.47","-225.0","-3375.0","356.25","367.5","-37.5","-35.53","","","","","","","8901648003014.0"
"166","MUNCH 5/-","863","PCS","5.0","4.13","3564.0","Confectionery","4.12","21.36","0.88","760.32","4.96","4.91","20.39","19.17","","","","","","","8901058009439"
"167","NAVRATNA OIL 100ML 90/-","12","PCS","90.0","90.0","918.0","Personal Care","76.5","17.65","13.5","162.0","89.32","88.65","16.76","15.88","","","","","","","8901248104791.0"
"168","NAVRATNA OIL 45ML 47/-","24","PCS","47.0","47.0","958.8","Personal Care","39.95","17.65","7.05","169.2","46.65","46.3","16.77","15.89","","","","","","","8901248104784.0"
"169","NAVRATNA OIL 200ML 155/-","12","PCS","155.0","155.0","1581.0","Personal Care","131.75","17.65","23.25","279.0","153.84","152.68","16.77","15.89","","","","","","","8901248104807.0"
"170","NAVRATNA OIL 300ML 240/-","6","PCS","240.0","240.0","1224.0","Personal Care","204.0","17.65","36.0","216.0","238.2","236.4","16.76","15.88","","","","","","","8901248104135.0"
"171","NAVRATNA OIL 500ML 380/-","6","PCS","380.0","380.0","1938.0","Personal Care","323.0","17.65","57.0","342.0","377.15","374.3","16.76","15.88","","","","","","","8901248104067.0"
"172","NESCAFE COFFEE 2/-","1382","PCS","2.0","2.18","3012.11","Beverages","2.18","-8.26","-0.18","-248.76","2.01","2.02","-7.8","-7.34","","","","","","","8901058016895.0"
"173","NESCAFE COFFEE 10/-","188","PCS","10.0","10.01","1882.57","Beverages","10.01","-0.1","-0.01","-1.88","10.0","10.0","-0.1","-0.1","","","","","","","8901058017601.0"
"174","OREO CHOCOLATE BISCUIT 10/-","100","PCS","10.0","10.0","1000.0","Biscuits","10.0","0.0","0.0","0.0","10.0","10.0","0.0","0.0","","","","","","","7622202225550.0"
