"Sr_No","Product_Name","Quantity","Unit","MRP","Purchase_Rate","Amount","Category","Cost_Price","Sell_Price","Actual_Margin_Percent","Actual_Profit_Per_Unit","Total_Actual_Profit","SP_5_Percent","SP_10_Percent","SP_5_Margin_Percent","SP_10_Margin_Percent","Brand","Size","Supplier","Last_Updated","Status","Stock_Quantity","Barcode","Barcode_Clean"
"99","GILLETTE PRESTO 25/-","55","PCS","25.0","25.09","1380.0","Personal Care","25.09","26.0","-0.36","-0.09","-4.95","25.0","25.01","-0.36","-0.32","","","","","","","14987200000000","14987200000000"
"100","GODREJ COLOUR 37/- BLACK","120","PCS","35.0","29.5","3540.0","Personal Care","29.5","32.0","18.64","5.5","660.0","34.72","34.45","17.69","16.78","","","","","","","8901020000000","8901020000000"
"101","GODREJ COLOUR 37/- N/BROWN","59","PCS","37.0","29.5","1770.0","Personal Care","29.5","33.0","25.42","7.5","450.0","36.62","36.25","24.14","22.88","","","","","","","8901020000000","8901020000000"
"102","GODREJ COLOUR 37/- D/BROWN","30","PCS","37.0","29.5","885.0","Personal Care","29.5","33.0","25.42","7.5","225.0","36.62","36.25","24.14","22.88","","","","","","","8901020000000","8901020000000"
"103","GODREJ COLOUR 37/- BURGUNDY","30","PCS","37.0","29.5","885.0","Personal Care","29.5","33.0","25.42","7.5","225.0","36.62","36.25","24.14","22.88","","","","","","","8901020000000","8901020000000"
"104","GODREJ NO1 SMALL JASMIN","44","PCS","40.0","40.0","1760.0","Personal Care","40.0","40.0","0.0","0.0","0.0","40.0","40.0","0.0","0.0","","","","","","","8901020000000","8901020000000"
"105","GODREJ NO1 SMALL LEMON","44","PCS","40.0","40.0","1760.0","Personal Care","40.0","40.0","0.0","0.0","0.0","40.0","40.0","0.0","0.0","","","","","","","8901020000000","8901020000000"
"106","GODREJ NO1 SMALL SANDAL","44","PCS","40.0","40.0","1760.0","Personal Care","40.0","40.0","0.0","0.0","0.0","40.0","40.0","0.0","0.0","","","","","","","8901020000000","8901020000000"
"107","GODREJ NO1 BIG LEMON","30","PCS","145.0","142.67","4280.0","Personal Care","118.9","144.0","1.63","2.33","69.9","137.75","130.5","1.55","1.47","","","","","","","8901020000000","8901020000000"
"108","GODREJ NO1 BIG SANDAL","27","PCS","145.0","142.67","4280.0","Personal Care","118.9","144.0","1.63","2.33","69.9","137.75","130.5","1.55","1.47","","","","","","","8901020000000","8901020000000"
"109","GODREJ NO1 BIG JASMINE","29","PCS","145.0","142.67","4280.0","Personal Care","118.9","144.0","1.63","2.33","69.9","137.75","130.5","1.55","1.47","","","","","","","8901020000000","8901020000000"
"110","GOOD KNIGHT REFIL 75/-","60","PCS","75.0","64.0","3840.0","Home Care","64.0","69.0","17.19","11.0","660.0","74.45","73.9","16.33","15.47","","","","","","","8901020000000","8901020000000"
"111","GOOD KNIGHT MACHINE 95/-","59","PCS","95.0","81.0","4860.0","Home Care","81.0","87.0","17.28","14.0","840.0","94.3","93.6","16.42","15.56","","","","","","","8901020000000","8901020000000"
"112","H&S 200ML 215/-","27","PCS","215.0","150.0","4200.0","Personal Care","150.0","176.0","43.33","65.0","1820.0","211.75","208.5","41.17","39.0","","","","","","","4987180000000","4987180000000"
"113","H&S POUCH 2/- PINK","480","PCS","2.0","2.6","1250.0","Personal Care","2.6","3.0","-23.08","-0.6","-288.0","2.03","2.06","-21.92","-20.77","","","","","","","4987180000000","4987180000000"
"114","H&S POUCH 2/- ORANGE","480","PCS","2.0","2.6","1250.0","Personal Care","2.6","3.0","-23.08","-0.6","-288.0","2.03","2.06","-21.92","-20.77","","","","","","","4987180000000","4987180000000"
"115","H&S POUCH 4/-","513","PCS","4.0","4.0","2050.0","Personal Care","4.0","4.0","0.0","0.0","0.0","4.0","4.0","0.0","0.0","","","","","","","4987180000000","4987180000000"
"116","HAIR CARE 200ML 125/-","24","PCS","125.0","125.0","2580.0","Personal Care","107.5","115.0","16.28","17.5","420.0","124.12","123.25","15.46","14.65","","","","","","","8901090000000","8901090000000"
"117","HAIR CARE 100ML 66/-","36","PCS","66.0","66.0","2043.36","Personal Care","56.76","61.0","16.28","9.24","332.64","65.54","65.08","15.47","14.66","","","","","","","8901090000000","8901090000000"
"118","HAJMOLA JAR 170/-","12","PCS","170.0","175.0","2100.0","Health Products","175.0","173.0","-2.86","-5.0","-60.0","170.25","170.5","-2.71","-2.57","","","","","","","8901210000000","8901210000000"
